committee_name,cmte_id
Friends of Sherrod Brown,C00264697
Tulsi Now,C00693713
Friends of Bernie Sanders,C00411330
Gillibrand for Senate,C00413914
Klobuchar for Minnesota,C00431353
Jeff Merkley for Oregon,C00437277
Tulsi for Hawai'i,C00497396
"Elizabeth for MA, Inc.",C00500843
Beto O'Rourke,C00501197
Swalwell for Congress,C00502294
Friends of John Delaney,C00508416
Cory Booker for Senate,C00540500
Kamala Harris for Senate,C00571919
American Possibilities ,C00639500
Opportunity First PAC,C00652552 
Friends  of Andrew Yang,C00659938
Elizabeth Warren Presidential Exploratory Committee Inc.,C00693234
Kamala Harris for the People,C00694455
